k,sigma,mean_dwell,std_dwell,trials
0.1,0.0001,500.0,0.0,20
0.1,0.00015108090691070758,500.0,0.0,20
0.1,0.00022825440432961886,500.0,0.0,20
0.1,0.0003448488241248216,500.0,0.0,20
0.1,0.0005210007309586913,500.0,0.0,20
0.1,0.0007871326293438064,500.0,0.0,20
0.1,0.0011892071150027212,500.0,0.0,20
0.1,0.0017966648943927722,500.0,0.0,20
0.1,0.002714417616594907,500.0,0.0,20
0.1,0.004100966752495598,500.0,0.0,20
0.1,0.006195777761776942,500.0,0.0,20
0.1,0.009360637232664544,500.0,0.0,20
0.1,0.01414213562373095,500.0,0.0,20
0.1,0.021366066756874972,500.0,0.0,20
0.1,0.032280047427433914,500.0,0.0,20
0.1,0.048768988404573686,500.0,0.0,20
0.1,0.07368062997280773,500.0,0.0,20
0.1,0.11131736398044056,500.0,0.0,20
0.1,0.16817928305074292,500.0,0.0,20
0.1,0.2540867860689883,500.0,0.0,20
0.1,0.3838766207332969,205.8769999999726,157.61429773656957,20
0.1,0.5799642800220423,13.452499999999896,12.563886689635046,20
0.1,0.8762152940154572,4.334999999999944,3.410047653625909,20
0.1,1.3237940126888754,1.786499999999992,1.193014144928706,20
0.1,2.0,0.9784999999999983,0.8728761366883571,20
0.26,0.0001,500.0,0.0,20
0.26,0.00015108090691070758,500.0,0.0,20
0.26,0.00022825440432961886,500.0,0.0,20
0.26,0.0003448488241248216,500.0,0.0,20
0.26,0.0005210007309586913,500.0,0.0,20
0.26,0.0007871326293438064,500.0,0.0,20
0.26,0.0011892071150027212,500.0,0.0,20
0.26,0.0017966648943927722,500.0,0.0,20
0.26,0.002714417616594907,500.0,0.0,20
0.26,0.004100966752495598,500.0,0.0,20
0.26,0.006195777761776942,500.0,0.0,20
0.26,0.009360637232664544,500.0,0.0,20
0.26,0.01414213562373095,500.0,0.0,20
0.26,0.021366066756874972,500.0,0.0,20
0.26,0.032280047427433914,500.0,0.0,20
0.26,0.048768988404573686,500.0,0.0,20
0.26,0.07368062997280773,500.0,0.0,20
0.26,0.11131736398044056,500.0,0.0,20
0.26,0.16817928305074292,500.0,0.0,20
0.26,0.2540867860689883,500.0,0.0,20
0.26,0.3838766207332969,429.2444999999855,135.49965566284814,20
0.26,0.5799642800220423,37.49899999999982,40.407065953863096,20
0.26,0.8762152940154572,6.30349999999992,4.430526238495772,20
0.26,1.3237940126888754,2.086499999999988,1.3465038989917393,20
0.26,2.0,0.7325000000000005,0.4822538232093141,20
0.41,0.0001,500.0,0.0,20
0.41,0.00015108090691070758,500.0,0.0,20
0.41,0.00022825440432961886,500.0,0.0,20
0.41,0.0003448488241248216,500.0,0.0,20
0.41,0.0005210007309586913,500.0,0.0,20
0.41,0.0007871326293438064,500.0,0.0,20
0.41,0.0011892071150027212,500.0,0.0,20
0.41,0.0017966648943927722,500.0,0.0,20
0.41,0.002714417616594907,500.0,0.0,20
0.41,0.004100966752495598,500.0,0.0,20
0.41,0.006195777761776942,500.0,0.0,20
0.41,0.009360637232664544,500.0,0.0,20
0.41,0.01414213562373095,500.0,0.0,20
0.41,0.021366066756874972,500.0,0.0,20
0.41,0.032280047427433914,500.0,0.0,20
0.41,0.048768988404573686,500.0,0.0,20
0.41,0.07368062997280773,500.0,0.0,20
0.41,0.11131736398044056,500.0,0.0,20
0.41,0.16817928305074292,500.0,0.0,20
0.41,0.2540867860689883,500.0,0.0,20
0.41,0.3838766207332969,487.6449999999957,53.85419644746355,20
0.41,0.5799642800220423,90.23300000000066,54.788070334693735,20
0.41,0.8762152940154572,4.772499999999953,4.545829819735836,20
0.41,1.3237940126888754,3.000499999999975,1.8797219874225735,20
0.41,2.0,1.121499999999997,1.1134553201633068,20
0.57,0.0001,500.0,0.0,20
0.57,0.00015108090691070758,500.0,0.0,20
0.57,0.00022825440432961886,500.0,0.0,20
0.57,0.0003448488241248216,500.0,0.0,20
0.57,0.0005210007309586913,500.0,0.0,20
0.57,0.0007871326293438064,500.0,0.0,20
0.57,0.0011892071150027212,500.0,0.0,20
0.57,0.0017966648943927722,500.0,0.0,20
0.57,0.002714417616594907,500.0,0.0,20
0.57,0.004100966752495598,500.0,0.0,20
0.57,0.006195777761776942,500.0,0.0,20
0.57,0.009360637232664544,500.0,0.0,20
0.57,0.01414213562373095,500.0,0.0,20
0.57,0.021366066756874972,500.0,0.0,20
0.57,0.032280047427433914,500.0,0.0,20
0.57,0.048768988404573686,500.0,0.0,20
0.57,0.07368062997280773,500.0,0.0,20
0.57,0.11131736398044056,500.0,0.0,20
0.57,0.16817928305074292,500.0,0.0,20
0.57,0.2540867860689883,500.0,0.0,20
0.57,0.3838766207332969,500.0,0.0,20
0.57,0.5799642800220423,230.00199999994848,199.5614311583801,20
0.57,0.8762152940154572,13.709500000000286,11.773010861713034,20
0.57,1.3237940126888754,3.580999999999957,2.8833520423284615,20
0.57,2.0,1.0939999999999994,0.8418040151959335,20
0.73,0.0001,500.0,0.0,20
0.73,0.00015108090691070758,500.0,0.0,20
0.73,0.00022825440432961886,500.0,0.0,20
0.73,0.0003448488241248216,500.0,0.0,20
0.73,0.0005210007309586913,500.0,0.0,20
0.73,0.0007871326293438064,500.0,0.0,20
0.73,0.0011892071150027212,500.0,0.0,20
0.73,0.0017966648943927722,500.0,0.0,20
0.73,0.002714417616594907,500.0,0.0,20
0.73,0.004100966752495598,500.0,0.0,20
0.73,0.006195777761776942,500.0,0.0,20
0.73,0.009360637232664544,500.0,0.0,20
0.73,0.01414213562373095,500.0,0.0,20
0.73,0.021366066756874972,500.0,0.0,20
0.73,0.032280047427433914,500.0,0.0,20
0.73,0.048768988404573686,500.0,0.0,20
0.73,0.07368062997280773,500.0,0.0,20
0.73,0.11131736398044056,500.0,0.0,20
0.73,0.16817928305074292,500.0,0.0,20
0.73,0.2540867860689883,500.0,0.0,20
0.73,0.3838766207332969,500.0,0.0,20
0.73,0.5799642800220423,322.6389999999586,175.52557066991,20
0.73,0.8762152940154572,18.24050000000053,17.87641811857248,20
0.73,1.3237940126888754,2.686999999999979,1.9350170541883769,20
0.73,2.0,1.2819999999999954,1.1695708614701261,20
0.89,0.0001,500.0,0.0,20
0.89,0.00015108090691070758,500.0,0.0,20
0.89,0.00022825440432961886,500.0,0.0,20
0.89,0.0003448488241248216,500.0,0.0,20
0.89,0.0005210007309586913,500.0,0.0,20
0.89,0.0007871326293438064,500.0,0.0,20
0.89,0.0011892071150027212,500.0,0.0,20
0.89,0.0017966648943927722,500.0,0.0,20
0.89,0.002714417616594907,500.0,0.0,20
0.89,0.004100966752495598,500.0,0.0,20
0.89,0.006195777761776942,500.0,0.0,20
0.89,0.009360637232664544,500.0,0.0,20
0.89,0.01414213562373095,500.0,0.0,20
0.89,0.021366066756874972,500.0,0.0,20
0.89,0.032280047427433914,500.0,0.0,20
0.89,0.048768988404573686,500.0,0.0,20
0.89,0.07368062997280773,500.0,0.0,20
0.89,0.11131736398044056,500.0,0.0,20
0.89,0.16817928305074292,500.0,0.0,20
0.89,0.2540867860689883,500.0,0.0,20
0.89,0.3838766207332969,500.0,0.0,20
0.89,0.5799642800220423,442.2509999999955,143.01638867277296,20
0.89,0.8762152940154572,23.52049999999997,18.171951044122366,20
0.89,1.3237940126888754,3.378499999999966,2.3856996353270854,20
0.89,2.0,1.3534999999999975,0.8503133246045168,20
1.04,0.0001,500.0,0.0,20
1.04,0.00015108090691070758,500.0,0.0,20
1.04,0.00022825440432961886,500.0,0.0,20
1.04,0.0003448488241248216,500.0,0.0,20
1.04,0.0005210007309586913,500.0,0.0,20
1.04,0.0007871326293438064,500.0,0.0,20
1.04,0.0011892071150027212,500.0,0.0,20
1.04,0.0017966648943927722,500.0,0.0,20
1.04,0.002714417616594907,500.0,0.0,20
1.04,0.004100966752495598,500.0,0.0,20
1.04,0.006195777761776942,500.0,0.0,20
1.04,0.009360637232664544,500.0,0.0,20
1.04,0.01414213562373095,500.0,0.0,20
1.04,0.021366066756874972,500.0,0.0,20
1.04,0.032280047427433914,500.0,0.0,20
1.04,0.048768988404573686,500.0,0.0,20
1.04,0.07368062997280773,500.0,0.0,20
1.04,0.11131736398044056,500.0,0.0,20
1.04,0.16817928305074292,500.0,0.0,20
1.04,0.2540867860689883,500.0,0.0,20
1.04,0.3838766207332969,500.0,0.0,20
1.04,0.5799642800220423,500.0,0.0,20
1.04,0.8762152940154572,500.0,0.0,20
1.04,1.3237940126888754,500.0,0.0,20
1.04,2.0,500.0,0.0,20
1.2,0.0001,500.0,0.0,20
1.2,0.00015108090691070758,500.0,0.0,20
1.2,0.00022825440432961886,500.0,0.0,20
1.2,0.0003448488241248216,500.0,0.0,20
1.2,0.0005210007309586913,500.0,0.0,20
1.2,0.0007871326293438064,500.0,0.0,20
1.2,0.0011892071150027212,500.0,0.0,20
1.2,0.0017966648943927722,500.0,0.0,20
1.2,0.002714417616594907,500.0,0.0,20
1.2,0.004100966752495598,500.0,0.0,20
1.2,0.006195777761776942,500.0,0.0,20
1.2,0.009360637232664544,500.0,0.0,20
1.2,0.01414213562373095,500.0,0.0,20
1.2,0.021366066756874972,500.0,0.0,20
1.2,0.032280047427433914,500.0,0.0,20
1.2,0.048768988404573686,500.0,0.0,20
1.2,0.07368062997280773,500.0,0.0,20
1.2,0.11131736398044056,500.0,0.0,20
1.2,0.16817928305074292,500.0,0.0,20
1.2,0.2540867860689883,500.0,0.0,20
1.2,0.3838766207332969,500.0,0.0,20
1.2,0.5799642800220423,500.0,0.0,20
1.2,0.8762152940154572,500.0,0.0,20
1.2,1.3237940126888754,500.0,0.0,20
1.2,2.0,500.0,0.0,20
