k,sigma,amp,P_switch
0.1,-2.0,0.0,0.3
0.1,-2.0,0.25,0.28
0.1,-2.0,1.0,0.16
0.1,-2.0,0.75,0.3
0.1,-2.0,1.25,0.28
0.1,-2.0,0.5,0.28
0.1,-2.0,1.75,0.3
0.1,-2.0,1.5,0.22
0.1,-2.0,2.0,0.32
0.1,-1.8125,0.0,0.3
0.1,-1.8125,0.25,0.26
0.1,-1.8125,0.5,0.16
0.1,-1.8125,1.0,0.18
0.1,-1.8125,1.5,0.24
0.1,-1.8125,1.25,0.34
0.1,-1.8125,0.75,0.18
0.1,-1.8125,1.75,0.24
0.1,-1.8125,2.0,0.26
0.1,-1.625,0.5,0.18
0.1,-1.625,0.25,0.14
0.1,-1.625,0.75,0.14
0.1,-1.625,0.0,0.28
0.1,-1.625,1.25,0.22
0.1,-1.625,1.0,0.36
0.1,-1.4375,0.0,0.16
0.1,-1.625,2.0,0.12
0.1,-1.625,1.5,0.26
0.1,-1.625,1.75,0.2
0.1,-1.4375,0.25,0.24
0.1,-1.4375,0.5,0.2
0.1,-1.4375,1.5,0.32
0.1,-1.4375,1.0,0.16
0.1,-1.4375,1.75,0.26
0.1,-1.4375,0.75,0.18
0.1,-1.4375,1.25,0.26
0.1,-1.4375,2.0,0.32
0.1,-1.25,0.5,0.2
0.1,-1.25,0.25,0.34
0.1,-1.25,0.0,0.26
0.1,-1.25,1.0,0.22
0.1,-1.25,0.75,0.22
0.1,-1.25,1.25,0.18
0.1,-1.25,1.5,0.3
0.1,-1.25,1.75,0.36
0.1,-1.0625,0.0,0.28
0.1,-1.0625,0.25,0.24
0.1,-1.25,2.0,0.44
0.1,-1.0625,0.5,0.3
0.1,-1.0625,0.75,0.24
0.1,-1.0625,1.0,0.24
0.1,-1.0625,1.25,0.2
0.1,-1.0625,1.75,0.28
0.1,-1.0625,1.5,0.28
0.1,-1.0625,2.0,0.32
0.1,-0.875,0.0,0.32
0.1,-0.875,0.25,0.2
0.1,-0.875,0.75,0.38
0.1,-0.875,1.0,0.24
0.1,-0.875,0.5,0.42
0.1,-0.875,1.25,0.3
0.1,-0.875,2.0,0.24
0.1,-0.875,1.5,0.2
0.1,-0.875,1.75,0.34
0.1,-0.6875,0.0,0.36
0.1,-0.6875,0.25,0.38
0.1,-0.6875,0.5,0.2
0.1,-0.6875,1.0,0.38
0.1,-0.6875,0.75,0.32
0.1,-0.6875,1.25,0.26
0.1,-0.6875,1.5,0.42
0.1,-0.6875,1.75,0.4
