k,amp,Hold_Q0_stays_Q0,Set_Q0_to_Q1,Hold_Q1_stays_Q1,Reset_Q1_to_Q0,Invalid_S1R1_from_Q0_not_Q0_not_Q1,Total_Success
0.3,0.8,1,0,0,1,0,2
0.3,1.0,1,1,1,1,0,4
0.3,1.5,1,1,1,1,1,5
0.3,2.0,1,1,1,1,1,5
0.5,0.8,1,0,0,1,0,2
0.5,1.0,1,0,0,1,0,2
0.5,1.5,1,1,1,1,0,4
0.5,2.0,1,1,1,1,1,5
0.7,0.8,1,0,0,1,0,2
0.7,1.0,1,0,0,1,0,2
0.7,1.5,1,1,1,1,0,4
0.7,2.0,1,1,1,1,0,4
1.0,0.8,1,0,0,1,0,2
1.0,1.0,1,0,0,1,0,2
1.0,1.5,1,0,0,1,0,2
1.0,2.0,1,1,1,1,0,4
1.5,0.8,1,0,0,1,0,2
1.5,1.0,1,0,0,1,0,2
1.5,1.5,1,0,0,1,0,2
1.5,2.0,1,1,1,1,0,4
